country,country_code,year,gni_per_capita,total_fertility_rate,category
Nauru,NRU,2024,20400.0,3.29,Developing
Nepal,NPL,2024,1470.0,1.961,Developing
Netherlands,NLD,2024,62520.0,1.43,Developed
New Caledonia,NCL,2024,30070.0,1.964,Developing
New Zealand,NZL,2024,47580.0,1.57,Developed
Nicaragua,NIC,2024,2510.0,2.206,Developing
Niger,NER,2024,680.0,5.935,Developing
Nigeria,NGA,2024,1700.0,4.382,Developing
North Macedonia,MKD,2024,8300.0,1.4,Transitioning
Norway,NOR,2024,98170.0,1.45,Developed
Oman,OMN,2024,19520.0,2.508,Developing
Pakistan,PAK,2024,1430.0,3.547,Developing
Panama,PAN,2024,18010.0,2.106,Developing
Papua New Guinea,PNG,2024,2900.0,3.072,Developing
Paraguay,PRY,2024,6300.0,2.416,Developing
Peru,PER,2024,7500.0,1.965,Developing
Philippines,PHL,2024,4470.0,1.894,Developing
Poland,POL,2024,21590.0,1.14,Developed
Portugal,PRT,2024,26910.0,1.41,Developed
Puerto Rico (US),PRI,2024,25860.0,0.92,Developing
Qatar,QAT,2024,77290.0,1.717,Developing
Romania,ROU,2024,17600.0,1.39,Developed
Russian Federation,RUS,2024,15320.0,1.418,Transitioning
Rwanda,RWA,2024,1040.0,3.645,Developing
Samoa,WSM,2024,5040.0,3.801,Developing
Sao Tome and Principe,STP,2024,2850.0,3.596,Developing
Saudi Arabia,SAU,2024,35630.0,2.308,Developing
Senegal,SEN,2024,1680.0,3.765,Developing
Serbia,SRB,2024,11610.0,1.64,Transitioning
Seychelles,SYC,2024,17460.0,1.85,Developing
Sierra Leone,SLE,2024,820.0,3.703,Developing
Singapore,SGP,2024,74750.0,0.97,Developing
Sint Maarten (Dutch part),SXM,2024,38950.0,1.44,Developing
Slovak Republic,SVK,2024,23560.0,1.46,Developed
Slovenia,SVN,2024,31790.0,1.52,Developed
Solomon Islands,SLB,2024,1910.0,3.513,Developing
"Somalia, Fed. Rep.",SOM,2024,620.0,6.013,Developing
Spain,ESP,2024,33550.0,1.1,Developed
Sri Lanka,LKA,2024,3860.0,1.952,Developing
St. Kitts and Nevis,KNA,2024,22470.0,1.526,Developing
St. Lucia,LCA,2024,12640.0,1.385,Developing
St. Vincent and the Grenadines,VCT,2024,11060.0,1.761,Developing
Sudan,SDN,2024,710.0,4.264,Developing
Suriname,SUR,2024,5690.0,2.231,Developing
Sweden,SWE,2024,58190.0,1.43,Developed
Switzerland,CHE,2024,95220.0,1.29,Developed
Tajikistan,TJK,2024,1650.0,3.036,Transitioning
Tanzania,TZA,2024,1210.0,4.541,Developing
Thailand,THA,2024,7100.0,1.204,Developing
Timor-Leste,TLS,2024,1650.0,2.627,Developing
Togo,TGO,2024,1080.0,4.121673,Developing
