country,transition_year,hdi_at_transition,latest_year,latest_hdi
Syrian Arab Republic,Not yet developed,,2023.0,0.564
Mauritania,Not yet developed,,2023.0,0.563
Nigeria,Not yet developed,,2023.0,0.56
Tanzania (United Republic of),Not yet developed,,2023.0,0.555
Haiti,Not yet developed,,2023.0,0.554
Lesotho,Not yet developed,,2023.0,0.55
Pakistan,Not yet developed,,2023.0,0.544
Senegal,Not yet developed,,2023.0,0.53
Gambia,Not yet developed,,2023.0,0.524
Congo (Democratic Republic of the),Not yet developed,,2023.0,0.522
Malawi,Not yet developed,,2023.0,0.517
Benin,Not yet developed,,2023.0,0.515
Guinea-Bissau,Not yet developed,,2023.0,0.514
Djibouti,Not yet developed,,2023.0,0.513
Sudan,Not yet developed,,2023.0,0.511
Liberia,Not yet developed,,2023.0,0.51
Eritrea,Not yet developed,,2023.0,0.503
Guinea,Not yet developed,,2023.0,0.5
Ethiopia,Not yet developed,,2023.0,0.497
Afghanistan,Not yet developed,,2023.0,0.496
Mozambique,Not yet developed,,2023.0,0.493
Madagascar,Not yet developed,,2023.0,0.487
Yemen,Not yet developed,,2023.0,0.47
Sierra Leone,Not yet developed,,2023.0,0.467
Burkina Faso,Not yet developed,,2023.0,0.459
Burundi,Not yet developed,,2023.0,0.439
Mali,Not yet developed,,2023.0,0.419
Niger,Not yet developed,,2023.0,0.419
Chad,Not yet developed,,2023.0,0.416
Central African Republic,Not yet developed,,2023.0,0.414
Somalia,Not yet developed,,2023.0,0.404
South Sudan,Not yet developed,,2023.0,0.388
Developing countries,Not yet developed,,2023.0,0.712
Arab States,Not yet developed,,2023.0,0.719
East Asia and the Pacific,Not yet developed,,2023.0,0.775
Europe and Central Asia,2020,0.802,,
Latin America and the Caribbean,Not yet developed,,2023.0,0.783
South Asia,Not yet developed,,2023.0,0.672
Sub-Saharan Africa,Not yet developed,,2023.0,0.568
Least developed countries,Not yet developed,,2023.0,0.56
Small island developing states,Not yet developed,,2023.0,0.739
World,Not yet developed,,2023.0,0.756
